alt,altTemp(),getSAT()
78.8213835043134,287.509582519531,305.545012598081
78.8511925685452,287.509338378906,305.544766747931
78.8869145744247,287.509033203125,305.544459522677
78.9268392353551,287.508728027344,305.544152055215
78.9693750636652,287.508392333984,305.543813919028
79.0132756154053,287.508026123047,305.543445185517
79.0581681885524,287.507659912109,305.543076393564
79.1049310439266,287.507263183594,305.542676974957
79.1598972035572,287.5068359375,305.542246564849
79.2230833267095,287.506317138672,305.541724126146
79.2944777496159,287.505737304688,305.541140175975
79.3740845753346,287.505096435547,305.540494712829
79.461899919901,287.504364013672,305.53975721794
79.5579272285104,287.503601074219,305.538988724702
79.6621622842504,287.502746582031,305.538128196496
79.7746092511807,287.501831054688,305.537206148807
79.8952632063301,287.500854492188,305.53622257992
80.024128502002,287.499816894531,305.53517748744
80.1612003819318,287.498687744141,305.534040351772
80.3064830496442,287.497528076172,305.532872205394
80.4599715836812,287.496276855469,305.531612010854
80.6216701203957,287.494964599609,305.53029028276
80.7915738286683,287.493560791016,305.528876500946
80.9696864895523,287.492126464844,305.527431697326
81.1560039352626,287.490600585938,305.525894833826
81.3505289377645,287.489044189453,305.524326942129
81.5532582959859,287.487396240234,305.522666983814
81.7641942230985,287.485656738281,305.520914955149
81.9833334749565,287.48388671875,305.519131887737
82.2106787658995,287.482055664063,305.51728725995
82.4462253323291,287.480133056641,305.515350550457
82.6899774725316,287.478149414063,305.513352272398
82.9419308941578,287.476104736328,305.511292421707
83.2020873802248,287.473999023438,305.509170993804
83.4704452118604,287.471801757813,305.506957466601
83.7470045889495,287.469573974609,305.50471287048
84.0317633914528,287.467254638672,305.50237616551
84.3247238688637,287.464874267578,305.499977864083
84.6258817811031,287.462432861328,305.497517961263
84.9352399071213,287.459899902344,305.494965933963
85.2527957388666,287.457336425781,305.492382812012
85.5785504529485,287.454681396484,305.489707554552
85.9124997047475,287.451965332031,305.486970673661
86.2546482631005,287.449188232422,305.484172163124
86.6049901574152,287.446350097656,305.481312017256
86.9635288382415,287.443420410156,305.478359712059
87.3302608666709,287.440460205078,305.475376276558
87.7051871853182,287.437408447266,305.472300669045
88.08830579184,287.434295654297,305.469163400591
88.4796186886961,287.431121826172,305.465964464288
88.8791213775985,287.427856445313,305.462673335927
89.286816613283,287.424560546875,305.458486362557
89.7027004640549,287.421173095703,305.455071865088
90.1267763685901,287.417724609375,305.451595671395
90.5590371422004,287.414215087891,305.448057774455
90.9994891681708,287.41064453125,305.444458166209
91.4481260881294,287.406982421875,305.440766321719
91.9049505636794,287.403289794922,305.437043268041
92.369959132513,287.399505615234,305.433227962185
92.843156057992,287.395660400391,305.429350913232
93.3245312597137,287.391754150391,305.425412113512
93.8140924155014,287.387756347656,305.421381036436
94.3118350275327,287.383728027344,305.417318708829
94.8177593782311,287.379608154297,305.413164086739
95.3318654194009,287.375427246094,305.408947678827
95.8541476419196,287.371185302734,305.404669476415
96.3846073647728,287.366882324219,305.40032947021
96.9232461410575,287.362518310547,305.395927650761
97.4700605814578,287.358062744141,305.391433491242
98.0250508714234,287.353546142578,305.386877499593
98.5882147543598,287.348968505859,305.382259666206
99.1595539700938,287.344329833984,305.37757998105
99.7390600384679,287.339630126953,305.372838434687
100.326742571895,287.334869384766,305.368035016235
100.92259200674,287.330017089844,305.363139198478
101.526611499023,287.325103759766,305.358181488298
102.138794689323,287.320129394531,305.353161875554
102.759152742685,287.315093994141,305.348080348669
103.387668134877,287.309997558594,305.342936898058
104.024354150868,287.304809570313,305.337700994121
104.669199626427,287.299560546875,305.332403144107
105.322210968705,287.294281005859,305.327073853802
105.983377580065,287.288909912109,305.321652077414
106.652705721441,287.283447265625,305.316137802879
107.330195021932,287.277954101563,305.310592053655
108.015838976135,287.272369384766,305.30495378323
108.709635044797,287.266754150391,305.299284014961
109.411591090611,287.261047363281,305.293521700936
110.12170085276,287.255279541016,305.287697346946
110.839961596648,287.249450683594,305.281810940796
111.566368047148,287.243530273438,305.275831952783
112.300927179051,287.237579345703,305.269821404812
113.043634088244,287.231536865234,305.263718249298
113.794489440159,287.225433349609,305.257552990799
114.553485693061,287.219268798828,305.251325616837
115.320630388684,287.213043212891,305.24503611355
116.095912879333,287.206726074219,305.238653950876
116.879339944455,287.200378417969,305.232240149893
117.670903769555,287.193939208984,305.225733662458
118.47060925886,287.187438964844,305.219164991952
119.278448109049,287.180877685547,305.212534125168
120.094423719682,287.174255371094,305.205841047761
120.918526576716,287.167541503906,305.198191318692
121.750766194426,287.160797119141,305.191373781681
122.591136164847,287.153961181641,305.184463474122
123.439641958801,287.147064208984,305.177490898512
124.29626425507,287.140106201172,305.170456041853
125.161016904167,287.133087158203,305.163358888048
126.033896898385,287.126007080078,305.156199422371
126.914896599366,287.118835449219,305.14894711281
127.804018273484,287.111602783203,305.141632461479
128.701259653433,287.104309082031,305.134255453194
129.60661142238,287.096954345703,305.1268160733
130.520087137469,287.089538574219,305.119314304871
131.441667868989,287.082061767578,305.111750133901
132.371372644557,287.074493408203,305.104093025083
133.309183570324,287.06689453125,305.09640399922
134.255108928075,287.059204101563,305.088622004173
135.209136099671,287.051452636719,305.080777542424
136.171271393658,287.043640136719,305.072870596914
137.141514908639,287.035736083984,305.064870633467
138.119849590468,287.027801513672,305.056838672221
139.106288253912,287.019775390625,305.048713659913
140.100835040677,287.01171875,305.040556614298
141.103472056682,287.003570556641,305.032306484921
142.114206647151,286.995361328125,305.023993771388
143.133025059593,286.987060546875,305.015587940176
144.159939913196,286.978729248047,305.007150007654
145.194947067532,286.970306396484,304.99861892147
146.23804124759,286.961853027344,304.99005569958
147.289215108613,286.953308105469,304.981399289735
148.348475799547,286.944702148438,304.972680190755
149.415826721,286.93603515625,304.96389838413
150.491256190347,286.927276611328,304.955023335274
151.574762136908,286.918487548828,304.946116061183
152.666345499689,286.909606933594,304.937115508085
153.765991586377,286.900695800781,304.928082694122
154.873715089168,286.891693115234,304.918956563753
155.989507528488,286.882629394531,304.909767616603
157.113370037987,286.873474121094,304.900485315947
158.245299414382,286.864288330078,304.891170678156
159.38529999461,286.855041503906,304.881793165877
160.533350485144,286.845703125,304.872322244585
161.689461630653,286.836303710938,304.862788411113
162.853633235674,286.826843261719,304.853191645833
164.025880186236,286.817321777344,304.843531927208
165.206168568926,286.807739257813,304.833809239335
166.394502722076,286.798095703125,304.824023561705
167.590880377218,286.788360595703,304.814144356887
168.795314352377,286.778564453125,304.80420212065
170.007787688985,286.768737792969,304.794227352239
171.228310937644,286.758819580078,304.7841589947
172.456862999825,286.748840332031,304.774027547584
173.693460832001,286.73876953125,304.762939460357
174.938098027138,286.728668212891,304.752681775796
176.190770442714,286.718505859375,304.742360938349
177.451462997007,286.708251953125,304.731946411245
178.720197180286,286.697937011719,304.72146868809
179.996949430788,286.687561035156,304.71092775055
181.28173690266,286.677124023438,304.700323574933
182.574538301793,286.666625976563,304.689656142414
183.875362106948,286.656066894531,304.678925430178
185.184206248843,286.645416259766,304.668100899082
186.501066388329,286.634735107422,304.657243562905
187.825938385562,286.623962402344,304.646292364979
189.158820170909,286.613128662109,304.635277800978
190.499705335358,286.602233886719,304.624199849475
191.848612905364,286.591278076172,304.613058485435
193.205515377573,286.580261230469,304.601853690093
194.570423300029,286.569183349609,304.590585439339
195.943326123641,286.558013916016,304.579223194296
197.324223849573,286.546783447266,304.567797449663
198.713118547457,286.535522460938,304.55633869972
200.110012483783,286.524169921875,304.544785885856
201.514878153917,286.512756347656,304.533169506372
202.927753218682,286.501281738281,304.521489532478
204.348602284794,286.489715576172,304.509715428258
205.777431366732,286.478118896484,304.497908204432
207.214240464033,286.466461181641,304.486037319731
208.659031846095,286.454711914063,304.47407223243
210.111792695476,286.442901611328,304.462043438104
211.572523012408,286.431030273438,304.449950912735
213.041229205905,286.419097900391,304.437794631205
214.517900725012,286.407104492188,304.425574570862
216.002535305801,286.395050048828,304.413290707691
217.49512653728,286.382934570313,304.400943018218
218.995674813516,286.370727539063,304.388500960227
220.504183882964,286.358489990234,304.376025543586
222.020654138061,286.346160888672,304.363455708252
223.545066358056,286.333770751953,304.350821949939
225.077424606774,286.321319580078,304.33812424299
226.617736226064,286.308807373047,304.32536256108
228.165988103952,286.296234130859,304.312536881082
229.722183681442,286.283599853516,304.299647177082
231.286313640536,286.270874023438,304.28666290757
232.858381899307,286.258117675781,304.273645081489
234.438380102743,286.245269775391,304.260532639396
236.026310389047,286.232360839844,304.247356072728
237.622164802859,286.219390869141,304.234115356939
239.225946828607,286.206359863281,304.220810465443
240.837647116859,286.193267822266,304.207441373735
242.457269010716,286.180114746094,304.194008055036
244.084803780774,286.166900634766,304.180510484546
245.720254407264,286.153625488281,304.166948635331
247.363612991176,286.140258789063,304.15242995672
249.014881623676,286.126861572266,304.138739486827
250.674051709357,286.113372802734,304.124954143465
252.341126892134,286.099822998047,304.111104416732
254.016098374501,286.086212158203,304.097190281278
255.698968103388,286.072540283203,304.083211709719
257.389728591894,286.058807373047,304.069168676285
259.088382488233,286.045013427734,304.055061153253
260.794920500368,286.031158447266,304.040889115002
262.509346188861,286.017211914063,304.026622015854
264.231650884263,286.003234863281,304.012320865047
265.96183660347,285.989166259766,303.997924599408
267.69989577122,285.975036621094,303.983463710212
269.44583071582,285.960876464844,303.968968686755
271.199631839758,285.946624755859,303.954378467787
272.961303660064,285.932312011719,303.93972354198
274.730835999944,285.917938232422,303.92500388318
276.508232692489,285.903472900391,303.910188944828
278.293484093738,285.888977050781,303.895339735651
280.086593528162,285.874420166016,303.88042570899
281.887551657506,285.859771728516,303.865416320608
283.696361791925,285.845092773438,303.850372576382
285.513015215634,285.830322265625,303.835233414201
287.337514510844,285.815521240234,303.820059839891
289.169850111124,285.800628662109,303.804790791349
291.010025731055,285.785675048828,303.789456756394
292.858031983138,285.770660400391,303.774057707879
294.713871824788,285.755584716797,303.758593616004
296.577536361874,285.740447998047,303.743064453356
298.449028272182,285.725250244141,303.727470190001
300.328338814899,285.7099609375,303.711780280752
302.215470012743,285.694641113281,303.696055730781
304.110414065653,285.679229736328,303.680235476962
306.013173469575,285.663787841797,303.664380524173
307.923738640733,285.648254394531,303.648429809513
309.84211239405,285.632690429688,303.632444337607
311.768286857638,285.617034912109,303.61636304502
313.70226407377,285.601318359375,303.600216418781
315.644035192439,285.585540771484,303.58400443067
317.593602442881,285.569702148438,303.567727049915
319.550958087319,285.553802490234,303.551384247893
321.516104465001,285.537841796875,303.534975993619
323.489031665376,285.521820068359,303.518502258811
325.469743187074,285.505706787109,303.501932494464
327.458230839809,285.489562988281,303.485327706906
329.454496249324,285.473358154297,303.468657347378
331.458531598677,285.457061767578,303.451890869237
333.47033808264,285.440734863281,303.435089276387
335.489908644115,285.42431640625,303.418191504276
337.517245118041,285.407836914063,303.401228038901
339.552337958594,285.391326904297,303.38422936889
341.595191114815,285.374725341797,303.366273744782
343.645795367076,285.358062744141,303.349113042898
345.704153555329,285.341339111328,303.331886525421
347.770256007207,285.324554443359,303.314594163153
349.844106467441,285.307708740234,303.297235923526
351.92569530895,285.290802001953,303.27981177719
354.015026053996,285.273834228516,303.26232169146
356.11208937224,285.256774902344,303.244735119194
358.216888593044,285.239685058594,303.227113062738
360.329413622501,285.222534179688,303.20942497501
362.449668111047,285.205291748047,303.191640305368
364.577643588535,285.188018798828,303.173820058918
366.713342386065,285.170654296875,303.155903167605
368.856755262823,285.153259277344,303.137950636602
371.007885606843,285.135772705078,303.119901397414
373.166724010836,285.118225097656,303.101785937548
375.333273896715,285.100646972656,303.083634741069
377.507526433445,285.082977294922,303.065386742465
379.68948361068,285.065246582031,303.047072426017
381.879137784825,285.047454833984,303.028691760925
384.076490760781,285.029602050781,303.010244713779
386.281534022768,285.011688232422,302.991731253884
388.494270338095,284.993713378906,302.973151347415
390.714691248024,284.975677490234,302.954504963532
392.942799649551,284.957580566406,302.935792068212
395.178585824324,284.939422607422,302.91701263084
397.422053457471,284.921203613281,302.898166617019
399.673193794326,284.902893066406,302.879223478165
401.932009249693,284.884552001953,302.860244215231
404.198491150048,284.866149902344,302.841198279494
406.47264232405,284.84765625,302.8220551189
408.754454651149,284.829132080078,302.802875737183
411.043929905281,284.810516357422,302.783599064858
413.34105989011,284.791870117188,302.764286105564
415.645847319276,284.773132324219,302.744875789395
417.958283772576,284.754364013672,302.725429119935
420.278371370747,284.735504150391,302.705885027305
422.606102418038,284.716613769531,302.686304514758
424.941479739966,284.697631835938,302.666626512057
427.284493146813,284.678588867188,302.646881505505
429.635146572837,284.659515380859,302.627099977122
