--- RK1, no drag, dt=2
0.199999999967986,-0.120623637729088,-66.9343557244774
0.41999999993277,-0.12062102003352,-66.9343732668122
0.639999999897555,-0.120620697282615,-66.934379252351
0.859999999862339,-0.120621842019763,-66.9343740842968
1.07999999982712,-0.120622883988703,-66.9343579830718
1.29999999979191,-0.120623466362629,-66.934362303181
1.51999999975669,-0.120623582725416,-66.9344232616112
1.73999999972148,-0.120623606387251,-66.9344731837711
1.95999999968626,-0.12062360193241,-66.9345121589299
2.17999999965105,-0.120623601840801,-66.9345402746043
2.39999999961583,-0.120623622488801,-66.9345576198484
2.61999999958061,-0.120623672028692,-66.9345642878249
2.8399999995454,-0.120623754880625,-66.934560371449
3.05999999951018,-0.120623873306896,-66.9345459658844
3.27999999947497,-0.120623952534498,-66.9345412291255
3.49999999943975,-0.120623773241459,-66.9346040268033
3.71999999940454,-0.120623634567891,-66.9346557165262
3.93999999936932,-0.120623536656183,-66.934696400081
4.1599999993341,-0.120623479603344,-66.9347261766662
4.37999999929889,-0.120623463244409,-66.9347451470915
4.59999999926367,-0.120623487628571,-66.9347534090521
4.81999999922846,-0.120623552383684,-66.9347510622334
5.03999999919324,-0.120623657487463,-66.9347382043893
5.25999999915803,-0.120623766888802,-66.9347243063058
5.47999999912281,-0.120623579029281,-66.9347887257017
5.69999999908759,-0.120623433132736,-66.9348420193838
5.91999999905238,-0.120623328888345,-66.9348842882059
6.13999999901716,-0.120623265997576,-66.9349156329183
6.35999999898195,-0.12062324425601,-66.9349361534049
6.57999999894673,-0.120623263177015,-66.9349459491297
6.79999999891152,-0.12062332270657,-66.9349451189132
7.0199999988763,-0.120623422282938,-66.9349337623585
7.23999999884109,-0.120623561944817,-66.9349119759753
7.45999999880587,-0.120622994247376,-66.9351044502894
7.67999999877065,-0.120622461811399,-66.9352877665148
7.89999999873544,-0.120621973189588,-66.9354593074151
8.11999999870022,-0.120621528211714,-66.9356191806754
8.33999999866501,-0.120621126477533,-66.9357674928475
8.55999999862979,-0.120620767739905,-66.9359043500143
8.77999999859458,-0.12062045166041,-66.9360298575377
8.99999999855936,-0.120620178053453,-66.9361441210224
9.21999999852414,-0.120619946472203,-66.9362472449867
9.43999999848893,-0.120619753043427,-66.9363141310551
9.65999999845371,-0.120619601267077,-66.9363686067446
9.8799999984185,-0.120619491135249,-66.9364120335375
10.0999999983833,-0.120619422232663,-66.9364445138209
10.3199999983481,-0.120619394503323,-66.9364661461617
10.5399999983129,-0.120619407440376,-66.9364770323569
10.7599999982776,-0.120619460976901,-66.9364772702809
10.9799999982424,-0.120619554628624,-66.9364669595647
11.1999999982072,-0.120619688342048,-66.936446197182
11.3999999981752,-0.120619545780888,-66.9364981945746
